event_id,order_id,event_type,event_timestamp,source_system
E00000001,O101501,order_created,2025-12-11 16:19:17.441053+00:00,mobile
E00000002,O101501,order_cancelled,2025-12-11 16:29:12.441053+00:00,backend
E00000003,O102586,order_created,2025-12-16 22:54:17.441053+00:00,web
E00000004,O102586,order_cancelled,2025-12-16 23:04:12.441053+00:00,backend
E00000005,O102653,order_created,2025-12-17 06:43:17.441053+00:00,mobile
E00000005,O102653,order_cancelled,2025-12-17 06:53:12.441053+00:00,backend
E00000007,O101055,order_created,2025-12-09 12:17:17.441053+00:00,mobile
E00000008,O101055,order_cancelled,2025-12-09 12:27:12.441053+00:00,backend
E00000009,O100705,order_created,2025-12-07 19:27:17.441053+00:00,mobile
E00000010,O100705,order_cancelled,2025-12-07 19:37:12.441053+00:00,backend
E00000011,O100106,order_created,2025-12-04 21:34:17.441053+00:00,web
E00000012,O100106,order_cancelled,2025-12-04 21:44:12.441053+00:00,backend
E00000013,O100589,order_created,2025-12-07 05:55:17.441053+00:00,mobile
E00000014,O100589,order_cancelled,2025-12-07 06:05:12.441053+00:00,backend
E00000015,O102468,order_created,2025-12-16 09:08:17.441053+00:00,web
E00000016,O102468,order_cancelled,2025-12-16 09:18:12.441053+00:00,backend
E00000017,O102413,order_created,2025-12-16 02:43:17.441053+00:00,mobile
E00000018,O102413,order_cancelled,2025-12-16 02:53:12.441053+00:00,backend
E00000019,O101600,order_created,2025-12-12 03:52:17.441053+00:00,web
E00000020,O101600,order_cancelled,2025-12-12 04:02:12.441053+00:00,backend
E00000021,O102464,order_created,2025-12-16 08:40:17.441053+00:00,web
E00000022,O102464,order_cancelled,2025-12-16 08:50:12.441053+00:00,backend
E00000023,O100228,order_created,2025-12-05 11:48:17.441053+00:00,web
E00000024,O100228,order_cancelled,2025-12-05 11:58:12.441053+00:00,backend
E00000025,O100915,order_created,2025-12-08 19:57:17.441053+00:00,mobile
E00000026,O100915,order_cancelled,2025-12-08 20:07:12.441053+00:00,backend
E00000027,O100794,order_created,2025-12-08 05:50:17.441053+00:00,web
E00000028,O100794,order_cancelled,2025-12-08 06:00:12.441053+00:00,backend
E00000029,O103021,order_created,2025-12-19 01:39:17.441053+00:00,mobile
E00000030,O103021,order_cancelled,2025-12-19 01:49:12.441053+00:00,backend
E00000031,O103543,order_created,2025-12-21 14:33:17.441053+00:00,mobile
E00000032,O103543,order_cancelled,2025-12-21 14:43:12.441053+00:00,backend
E00000033,O101073,order_created,2025-12-09 14:23:17.441053+00:00,mobile
E00000034,O101073,order_cancelled,2025-12-09 14:33:12.441053+00:00,backend
E00000035,O103351,order_created,2025-12-20 16:09:17.441053+00:00,mobile
