order_id,customer_id,order_created_at,order_amount,currency,order_status
O100000,C10000,2025-12-05 08:00:49.631991+00:00,0.0,EUR,completed
O100001,C10001,2025-12-05 08:07:49.631991+00:00,1.5,EUR,completed
O100002,C10002,2025-12-05 08:14:49.631991+00:00,3.0,EUR,cancelled
O100003,C10003,2025-12-05 08:21:49.631991+00:00,4.5,EUR,completed
O100004,C10004,2025-12-05 08:28:49.631991+00:00,6.0,EUR,completed
O100005,C10005,2025-12-05 08:35:49.631991+00:00,7.5,EUR,completed
O100006,C10006,2025-12-05 08:42:49.631991+00:00,9.0,EUR,completed
O100007,C10007,2025-12-05 08:49:49.631991+00:00,10.5,EUR,completed
O100008,C10008,2025-12-05 08:56:49.631991+00:00,12.0,EUR,completed
O100009,C10009,2025-12-05 09:03:49.631991+00:00,13.5,EUR,completed
O100010,C10010,2025-12-05 09:10:49.631991+00:00,15.0,EUR,completed
O100011,C10011,2025-12-05 09:17:49.631991+00:00,16.5,EUR,completed
O100012,C10012,2025-12-05 09:24:49.631991+00:00,18.0,EUR,cancelled
O100013,C10013,2025-12-05 09:31:49.631991+00:00,19.5,EUR,completed
O100014,C10014,2025-12-05 09:38:49.631991+00:00,21.0,EUR,completed
O100015,C10015,2025-12-05 09:45:49.631991+00:00,22.5,EUR,completed
O100016,,2025-12-05 09:52:49.631991+00:00,24.0,EUR,completed
O100017,C10017,2025-12-05 09:59:49.631991+00:00,25.5,EUR,completed
O100018,C10018,2025-12-05 10:06:49.631991+00:00,27.0,EUR,completed
O100019,C10019,2025-12-05 10:13:49.631991+00:00,28.5,EUR,completed
O100020,C10020,2025-12-05 10:20:49.631991+00:00,30.0,EUR,completed
O100021,C10021,2025-12-05 10:27:49.631991+00:00,31.5,EUR,completed
O100022,C10022,2025-12-05 10:34:49.631991+00:00,33.0,EUR,completed
O100023,C10023,2025-12-05 10:41:49.631991+00:00,34.5,EUR,completed
O100024,C10024,2025-12-05 10:48:49.631991+00:00,36.0,EUR,completed
O100025,C10025,2025-12-05 10:55:49.631991+00:00,37.5,EUR,completed
O100026,C10026,2025-12-05 11:02:49.631991+00:00,39.0,EUR,completed
O100027,C10027,2025-12-05 11:09:49.631991+00:00,40.5,EUR,completed
O100028,C10028,2025-12-05 11:16:49.631991+00:00,42.0,EUR,completed
O100029,C10029,2025-12-05 11:23:49.631991+00:00,43.5,EUR,completed
O100030,C10030,2025-12-05 11:30:49.631991+00:00,45.0,EUR,completed
O100031,C10031,2025-12-05 11:37:49.631991+00:00,46.5,EUR,completed
